x,y,cp,yplus,cf,source,surface
0.66077,0.04769,-0.2873,,0.003688,xfoil,upper
0.67566,-0.03147,0.03397,,0.000758,xfoil,lower
0.6774,0.04575,-0.26929,,0.003596,xfoil,upper
0.69236,-0.03022,0.03694,,0.000723,xfoil,lower
0.69403,0.04377,-0.25134,,0.003504,xfoil,upper
0.70907,-0.02894,0.04009,,0.000688,xfoil,lower
0.71067,0.04175,-0.23332,,0.003411,xfoil,upper
0.72578,-0.02761,0.04366,,0.000651,xfoil,lower
0.7273,0.03969,-0.21533,,0.003319,xfoil,upper
0.74249,-0.02624,0.04759,,0.000612,xfoil,lower
0.74393,0.03758,-0.19717,,0.003226,xfoil,upper
0.75919,-0.02484,0.05205,,0.000569,xfoil,lower
0.76056,0.03544,-0.17885,,0.003132,xfoil,upper
0.7759,-0.02339,0.057,,0.000522,xfoil,lower
0.77719,0.03326,-0.16016,,0.003035,xfoil,upper
0.7926,-0.02191,0.06267,,0.000466,xfoil,lower
0.7938,0.03104,-0.14121,,0.002936,xfoil,upper
0.80929,-0.02039,0.06897,,0.000405,xfoil,lower
0.81041,0.02878,-0.12159,,0.002832,xfoil,upper
0.82598,-0.01883,0.07602,,0.000333,xfoil,lower
0.82702,0.02648,-0.10142,,0.002724,xfoil,upper
0.84265,-0.01723,0.08378,,0.000249,xfoil,lower
0.84361,0.02415,-0.08053,,0.002611,xfoil,upper
0.85931,-0.01559,0.09171,,0.000157,xfoil,lower
0.86017,0.02178,-0.05876,,0.002491,xfoil,upper
0.87594,-0.01391,0.09923,,6.2e-05,xfoil,lower
0.87671,0.01937,-0.0356,,0.00236,xfoil,upper
0.89251,-0.0122,0.10543,,-2.1e-05,xfoil,lower
0.89318,0.01692,-0.01117,,0.00222,xfoil,upper
0.90899,-0.01045,0.11027,,-7.4e-05,xfoil,lower
0.90957,0.01445,0.01476,,0.002069,xfoil,upper
0.92526,-0.00868,0.11399,,-9.3e-05,xfoil,lower
0.92575,0.01197,0.04243,,0.001904,xfoil,upper
0.94114,-0.00692,0.11646,,-9.4e-05,xfoil,lower
0.94153,0.00951,0.07173,,0.001725,xfoil,upper
0.9564,-0.00518,0.11791,,-8.9e-05,xfoil,lower
0.95669,0.0071,0.10229,,0.001534,xfoil,upper
0.97062,-0.00353,0.11865,,-8.5e-05,xfoil,lower
0.97083,0.00482,0.13348,,0.001335,xfoil,upper
0.98316,-0.00204,0.11899,,-8.3e-05,xfoil,lower
0.98328,0.00278,0.1637,,0.001136,xfoil,upper
0.99381,-0.00076,0.18737,,-6.1e-05,xfoil,lower
0.99385,0.00103,0.19197,,0.000943,xfoil,upper
